segment_id,mountain_group,source_code,region,section_name,length_km,difficulty,up_min,down_min,surface,risk_note,start_node,end_node,park_flag,polyline
S35156,아차산·용마산,112150201,서울,중곡동구간,0.02,쉬움,1,0,토사,,N00015,N00012,1,"[[127.089767,37.569407],[127.089748,37.569519],[127.089767,37.569536]]"
S35157,아차산·용마산,112150201,서울,중곡동구간,0.03,쉬움,1,0,토사,,N00016,N00049,1,"[[127.090003,37.56945],[127.090069,37.569469],[127.090229,37.569457],[127.090214,37.569527],[127.090264,37.56957]]"
S35158,아차산·용마산,112150201,서울,중곡동구간,0.06,쉬움,1,1,토사,,N00042,N00044,1,"[[127.096474,37.563307],[127.096508,37.563286],[127.09653,37.563251],[127.096553,37.563202],[127.096531,37.563136],[127.096485,37.563065],[127.096428,37.562994],[127.096369,37.562958],[127.096459,37.56289],[127.096426,37.562829]]"
S35159,아차산·용마산,112150201,서울,중곡동구간,0.07,쉬움,1,1,토사,,N00050,N00042,1,"[[127.096468,37.563905],[127.096518,37.563846],[127.09655,37.563796],[127.096548,37.563755],[127.096535,37.563709],[127.096517,37.563663],[127.096477,37.563597],[127.096452,37.563541],[127.096482,37.563493],[127.096505,37.563439],[127.096493,37.563348],[127.096474,37.563307]]"
S35160,아차산·용마산,112150201,서울,중곡동구간,0.03,쉬움,1,0,토사,,N00051,N00041,0,"[[127.095277,37.569732],[127.095277,37.569773],[127.095293,37.569815],[127.095339,37.569841],[127.095398,37.569866],[127.095409,37.569905],[127.095442,37.569932],[127.095499,37.569955]]"
S35161,아차산·용마산,112150201,서울,중곡동구간,0.01,쉬움,1,0,토사,,N00052,N00040,0,"[[127.095595,37.56993],[127.095577,37.569964],[127.095576,37.570013]]"
S35162,아차산·용마산,112150201,서울,중곡동구간,0.03,쉬움,1,0,토사,,N00037,N00053,0,"[[127.095696,37.569551],[127.095808,37.569481],[127.095958,37.569458]]"
S35163,아차산·용마산,112150201,서울,중곡동구간,0.14,쉬움,2,2,토사,,N00009,N00003,1,"[[127.096768,37.564384],[127.09682,37.56437],[127.096853,37.564395],[127.096916,37.564415],[127.096949,37.564459],[127.096974,37.564488],[127.097037,37.564487],[127.097085,37.564535],[127.097137,37.564552],[127.097176,37.564578],[127.097372,37.564608],[127.097508,37.564713],[127.097634,37.564702],[127.09779,37.564747],[127.097872,37.564746],[127.097948,37.564734],[127.098015,37.564701],[127.098055,37.564677],[127.098116,37.56468]]"
S35164,아차산·용마산,112150201,서울,중곡동구간,0.03,쉬움,1,0,토사,,N00054,N00032,1,"[[127.098487,37.564675],[127.098437,37.564702],[127.098426,37.56474],[127.098374,37.564775],[127.098257,37.564802],[127.098193,37.56478]]"
S35165,아차산·용마산,112150201,서울,중곡동구간,0.25,쉬움,4,3,토사,,N00055,N00030,1,"[[127.095851,37.562253],[127.095807,37.56222],[127.09575,37.562212],[127.095698,37.562233],[127.095695,37.562279],[127.095623,37.562309],[127.095584,37.562307],[127.095523,37.562314],[127.09547,37.562345],[127.095432,37.562377],[127.095387,37.562414],[127.095322,37.562423],[127.095283,37.562383],[127.095227,37.5624],[127.095195,37.562384],[127.095176,37.562428],[127.095084,37.56238],[127.095002,37.562408],[127.094977,37.562379],[127.094913,37.562403],[127.094803,37.562374],[127.094763,37.562429],[127.094626,37.562506],[127.094553,37.562467],[127.094535,37.562529],[127.094469,37.562509],[127.094409,37.562522],[127.094282,37.562649],[127.094236,37.562645],[127.094198,37.562691],[127.094077,37.562719],[127.094059,37.562747],[127.094027,37.56274],[127.09395,37.562775],[127.093901,37.562758],[127.093826,37.562808],[127.093745,37.562772],[127.093661,37.562768]]"
