node_id,lon,lat,degree
N00524,126.944365,37.618974,3
N00525,126.944633,37.619864,3
N00526,126.934785,37.621825,3
N00527,126.938771,37.621996,3
N00528,126.938868,37.621824,2
N00529,126.94463,37.623422,3
N00530,126.932745,37.622036,1
N00531,126.94445,37.625593,3
N00532,126.946641,37.627088,2
N00533,126.950475,37.626429,1
N00534,126.950458,37.626419,1
N00535,126.96304,37.633016,1
N00536,126.963031,37.633016,1
N00537,126.960317,37.638064,2
N00538,126.967162,37.640268,3
N00539,126.958783,37.63854,3
N00540,126.943268,37.640761,1
N00541,126.946785,37.642763,3
N00542,126.94927,37.642924,3
N00543,126.944035,37.643632,3
N00544,126.939779,37.644513,1
N00545,126.940652,37.644654,3
N00546,126.947294,37.651961,3
N00547,126.953023,37.651537,3
N00548,126.960633,37.648124,3
N00549,126.953812,37.652685,3
N00550,126.961094,37.645863,3
N00551,126.949223,37.655188,3
N00552,126.954737,37.652798,3
N00553,126.955837,37.653503,3
N00554,126.951641,37.652991,3
N00555,126.951001,37.654456,3
N00556,126.95047,37.654845,3
N00557,126.95096,37.65493,3
N00558,126.961476,37.652857,3
N00559,126.946439,37.658402,1
N00560,126.971648,37.633324,3
N00561,126.974467,37.632115,3
N00562,126.980666,37.638843,3
N00563,126.970753,37.63368,3
N00564,126.974808,37.637994,3
N00565,126.978058,37.640245,3
N00566,126.980416,37.640016,3
N00567,126.966189,37.641227,3
N00568,126.979431,37.642079,3
N00569,126.973272,37.645311,3
N00570,126.976879,37.645068,3
N00571,126.982561,37.64941,2
N00572,126.961082,37.646157,3
N00573,126.966774,37.649989,3
N00574,126.972686,37.648331,3
N00575,126.978264,37.653679,3
N00576,126.962734,37.652288,3
N00577,126.976742,37.653181,1
N00578,126.967388,37.654602,3
N00579,126.967028,37.65784,3
N00580,126.951241,37.658719,4
N00581,126.970252,37.655457,3
N00582,126.95387,37.656875,1
N00583,126.956658,37.657868,3
N00584,126.978755,37.657344,3
N00585,126.980901,37.658316,4
N00586,126.967212,37.657884,3
N00587,126.979426,37.657843,3
N00588,126.963895,37.658088,3
N00589,126.968094,37.658341,3
N00590,126.963341,37.665287,3
N00591,126.952076,37.662176,3
N00592,126.980858,37.658626,3
N00593,126.984694,37.65977,3
N00594,126.979207,37.658342,3
N00595,126.981172,37.659124,3
N00596,126.982693,37.659409,3
N00597,126.947782,37.658936,1
N00598,126.980097,37.6598,3
N00599,126.979292,37.659373,3
N00600,126.984886,37.660406,3
N00601,126.984841,37.661437,3
N00602,126.976913,37.661243,3
N00603,126.98511,37.661758,3
N00604,126.984684,37.662255,3
N00605,126.976991,37.661881,3
N00606,126.951043,37.662396,1
N00607,126.986899,37.668626,3
N00608,126.962151,37.665854,3
N00609,126.96604,37.666629,3
N00610,126.969862,37.661265,1
N00611,126.966711,37.666664,3
N00612,126.962455,37.673851,3
N00613,126.960334,37.666816,3
N00614,126.97126,37.667451,3
N00615,126.972435,37.667836,3
N00616,126.976194,37.66617,1
N00617,126.989986,37.680475,3
N00618,126.955071,37.669597,1
N00619,126.955092,37.670076,1
N00620,126.955949,37.670623,3
N00621,126.992785,37.673869,4
N00622,126.993882,37.67133,3
N00623,126.993642,37.673658,3
N00624,126.971394,37.672392,3
N00625,126.963695,37.674015,3
N00626,126.959586,37.675384,3
N00627,126.991647,37.679493,3
N00628,126.961693,37.675523,3
N00629,126.993658,37.675458,1
N00630,126.955695,37.674525,1
N00631,126.957121,37.675032,3
N00632,126.969462,37.674868,3
N00633,126.95896,37.675345,3
N00634,126.956634,37.675628,1
N00635,126.964421,37.676435,3
N00636,126.9662,37.675775,3
N00637,126.9717,37.676278,3
N00638,126.98589,37.679593,1
N00639,126.976231,37.682662,1
N00640,126.961293,37.67916,3
N00641,126.95905,37.679259,1
N00642,126.987837,37.682574,3
N00643,126.975429,37.686308,3
N00644,126.965983,37.693174,1
N00645,126.996873,37.684642,3
N00646,126.99512,37.685085,2
N00647,126.997329,37.684141,2
N00648,127.011702,37.664577,1
N00649,126.992096,37.689756,2
N00650,126.994238,37.695136,1
N00651,126.970092,37.700373,1
N00652,126.98229,37.612861,1
N00653,126.938825,37.621614,1
N00654,126.942163,37.61857,1
N00655,126.995046,37.686574,2
N00656,126.984896,37.632006,1
N00657,126.984203,37.634491,1
N00658,127.009187,37.633149,1
N00659,126.946666,37.602551,3
N00660,126.946999,37.603164,3
N00661,126.946748,37.602471,3
N00662,126.947669,37.603393,3
N00663,126.947462,37.603327,3
N00664,126.946452,37.602485,4
N00665,126.953835,37.596942,3
N00666,126.955217,37.597358,3
N00667,126.953544,37.599391,3
N00668,126.955382,37.597623,3
N00669,126.953943,37.596513,1
N00670,126.951769,37.599377,1
N00671,126.952348,37.600001,3
N00672,126.953181,37.600695,3
N00673,126.951436,37.597105,1
N00674,126.952011,37.597234,3
N00675,126.952964,37.598389,3
N00676,126.953079,37.598689,3
N00677,126.951976,37.596615,1
N00678,126.952868,37.601313,3
N00679,126.952682,37.601987,4
N00680,126.943197,37.594276,3
N00681,126.942973,37.59468,4
N00682,126.942809,37.594135,3
N00683,126.942327,37.594357,1
N00684,126.941165,37.600184,3
N00685,126.941336,37.600601,3
N00686,126.942975,37.594755,3
N00687,126.941428,37.598577,3
N00688,126.942629,37.594532,1
N00689,126.941088,37.601112,3
N00690,126.940499,37.601402,3
N00691,126.944242,37.598434,1
N00692,126.943944,37.598264,3
N00693,126.943143,37.598351,3
N00694,126.943009,37.598267,3
N00695,126.943419,37.598389,3
N00696,126.943636,37.598476,1
N00697,126.944467,37.601744,3
N00698,126.944684,37.601587,6
N00699,126.944166,37.601195,5
N00700,126.944403,37.601662,3
N00701,126.944207,37.601036,1
N00702,126.943412,37.594121,3
N00703,126.942545,37.598277,1
N00704,126.951634,37.602207,3
N00705,126.951169,37.601172,1
N00706,126.94334,37.600474,3
N00707,126.942637,37.600234,3
N00708,126.944109,37.601373,1
N00709,126.955593,37.59745,1
N00710,126.946837,37.602445,3
N00711,126.946219,37.602663,3
N00712,126.9464,37.603221,3
N00713,126.947756,37.603435,3
N00714,126.947044,37.603845,3
N00715,126.943404,37.595215,1
N00716,126.94175,37.599542,3
N00717,126.946463,37.60175,3
N00718,126.945211,37.60162,1
N00719,126.944831,37.601542,3
N00720,126.944907,37.60108,3
N00721,126.945007,37.601121,3
N00722,126.950717,37.60486,3
N00723,126.951659,37.603866,3
N00724,126.950623,37.605145,1
N00725,126.943675,37.600859,3
N00726,126.943877,37.6008,3
N00727,126.943526,37.600913,4
N00728,126.942752,37.601192,3
N00729,126.949549,37.607667,5
N00730,126.949192,37.608799,3
N00731,126.949502,37.607182,3
N00732,126.949427,37.607381,3
N00733,126.949818,37.606111,3
N00734,126.949835,37.605701,1
N00735,126.946037,37.602456,3
N00736,126.944151,37.594243,1
N00737,126.943433,37.59399,3
N00738,126.940974,37.597137,1
N00739,126.946109,37.602243,3
N00740,126.949515,37.611144,3
N00741,126.949627,37.612833,1
N00742,126.94422,37.600559,1
N00743,126.944289,37.601824,3
N00744,126.952146,37.603587,3
N00745,126.944751,37.601314,4
N00746,126.943012,37.600931,4
N00747,126.943443,37.601336,3
N00748,126.941663,37.602947,1
N00749,126.943675,37.600559,1
N00750,126.951489,37.602183,1
N00751,126.951397,37.599578,1
N00752,126.950256,37.606256,3
N00753,126.950546,37.60639,3
N00754,126.94861,37.605827,4
N00755,126.9492,37.606886,4
N00756,126.948528,37.604799,3
N00757,126.948839,37.604513,1
N00758,126.95054,37.605939,1
N00759,126.947901,37.604594,3
N00760,126.947537,37.605018,3
N00761,126.951596,37.602922,3
N00762,126.951397,37.602851,1
N00763,126.945972,37.602246,3
N00764,126.944975,37.602073,3
N00765,126.946495,37.601433,1
N00766,126.949587,37.605798,1
N00767,126.945254,37.602445,3
N00768,126.950984,37.604975,3
N00769,126.95122,37.605402,1
N00770,126.951264,37.606421,3
N00771,126.943604,37.601928,3
N00772,126.951826,37.607307,3
N00773,126.949012,37.605547,1
N00774,126.950981,37.605784,1
N00775,126.951344,37.606026,3
N00776,126.95207,37.606263,1
N00777,126.947516,37.605267,3
N00778,126.946107,37.606014,3
N00779,126.946956,37.604692,3
N00780,126.943285,37.599478,1
N00781,126.953054,37.603024,5
N00782,126.953847,37.602311,1
N00783,126.949513,37.606692,1
N00784,126.941052,37.601573,5
N00785,126.941026,37.602473,3
N00786,126.948628,37.608533,3
N00787,126.952274,37.604799,3
N00788,126.940201,37.601525,1
N00789,126.951089,37.610659,1
N00790,126.943682,37.600116,1
N00791,126.941596,37.601341,1
N00792,126.941459,37.601458,3
N00793,126.948313,37.607998,3
N00794,126.948768,37.608098,3
N00795,126.948746,37.608044,3
N00796,126.948603,37.607946,5
N00797,126.942366,37.604142,1
N00798,126.942592,37.603931,3
